name,address,latitude,longitude
Langham Court Theatre,"805 Langham Ct, Victoria, BC V8V 4J3",48.4202187,-123.3492793
Cook Street Village Activity Centre,"380 Cook St #1, Victoria, BC V8V 3X7",48.4159592726951,-123.35611139731236
St. Ann's Academy and Auditorium National Historic Site,"835 Humboldt St, Victoria, BC V8V 4W8",48.4190362,-123.3637505
James Bay Community Centre,"2A9, 140 Oswego St, Victoria, BC V8V 2B1",48.41664137982969,-123.3797578584691
Royal BC Museum,"675 Belleville St., Victoria, BC V8W 9W2",48.4197241,-123.3678678
Dino Lab Inc.,"43 & 45 Erie St Unit #100, Victoria, BC V8V 1P8",48.42099177236925,-123.3829164314821
Royal Theatre,"805 Broughton St, Victoria, BC V8W 1E5",48.4231738,-123.3623205
YMCA-YWCA Downtown,"851 Broughton St, Victoria, BC V8W 1C4",48.4230163,-123.3606048
Greater Victoria Public Library - Central Branch,"735 Broughton St, Victoria, BC V8W 3H2",48.4230466,-123.3641874
The Maritime Museum of British Columbia,"744 Douglas St, Victoria, BC V8W 2Z7",48.4217671,-123.3663512
Victoria Conference Centre - Crystal Garden,"713 Douglas St, Victoria, BC V8W 3M6",48.4215034,-123.3661777
Victoria Bug Zoo,"631 Courtney St, Victoria, BC V8W 1B8",48.4232281,-123.366577
The Coda,"751 View St, Victoria, BC V8W 1J9",48.42498859093614,-123.36296837381089
Cineplex Odeon Victoria Cinemas,"780 Yates St, Victoria, BC V8W 1L4",48.4263076,-123.3626797
Capitol 6 Theatres,"805 Yates St, Victoria, BC V8W 1L8",48.4254502,-123.3617812
Burnside Gorge Community Centre,"471 Cecelia Rd, Victoria, BC V8T 4T4",48.444173,-123.3784671
Metro Studio Theatre,"1411 Quadra St, Victoria, BC V8W 2L2",48.426724,-123.3586322
Intrepid Theatre Company Society,"1609 Blanshard St #2, Victoria, BC V8W 2J5",48.4290303,-123.3615637
Philippine Bayanihan Community Centre,"1709 Blanshard St, Victoria, BC V8W 2J8",48.4296449,-123.3615422
Pacific Opera Victoria & Baumann Centre,"925 Balmoral Rd, Victoria, BC V8W 2L5",48.4287075,-123.3580776
BOSA Community Room,"1025 Mason St, Victoria, BC V8V 0C6",48.4280457,-123.3596843
Quadra Village Community Centre,"901 Kings Rd, Victoria, BC V8T 1W5",48.4370126,-123.3610377
Quadra Village Neighbourhood Gym,"950 Kings Rd, Victoria, BC V8T 2W6",48.4376768,-123.360576
Art Gallery of Greater Victoria,"1040 Moss St, Victoria, BC V8V 4P1",48.4220673,-123.34749
Wentworth Villa - Architectural Heritage Museum,"1156 Fort St, Victoria, BC V8V 3K8",48.423377,-123.351556
Craigdarroch Castle,"1050 Joan Crescent, Victoria, BC V8S 3L5",48.4222825,-123.3428045
Save-On-Foods Memorial Centre,"1925 Blanshard St, Victoria, BC V8T 4J2",48.431578,-123.3605691
Crystal Pool & Fitness Centre,"2275 Quadra St, Victoria, BC V8T 4Z5",48.4334839,-123.3572426
Oak Bay Recreation Centre,"1975 Bee St, Victoria, BC V8R 1T5",48.43088711479753,-123.32108503887648
Oaklands Community Centre & Association,"2827 Belmont Ave #1, Victoria, BC V8R 4B2",48.44096208420593,-123.33859757750751
